iter	Passed	Remaining
0	78	78481
1	79	39531
2	79	26534
3	80	20018
4	80	16116
5	81	13503
6	82	11632
7	82	10248
8	83	9178
9	84	8327
10	84	7618
11	85	7024
12	85	6519
13	86	6087
14	86	5711
15	87	5381
16	88	5089
17	88	4828
18	88	4594
19	89	4389
20	90	4211
21	91	4050
22	91	3897
23	92	3758
24	92	3625
25	93	3504
26	94	3390
27	94	3284
28	95	3188
29	95	3094
30	96	3006
31	96	2930
32	97	2857
33	98	2789
34	98	2726
35	99	2662
36	100	2603
37	100	2546
38	101	2491
39	101	2439
40	102	2389
41	102	2341
42	103	2296
43	103	2253
44	104	2213
45	104	2176
46	105	2142
47	106	2107
48	106	2074
49	107	2042
50	108	2010
51	108	1980
52	109	1951
53	109	1922
54	110	1894
55	110	1867
56	111	1842
57	112	1819
58	112	1796
59	113	1776
60	114	1756
61	114	1736
62	115	1716
63	115	1695
64	116	1675
65	117	1656
66	117	1637
67	118	1618
68	118	1599
69	119	1583
70	119	1568
71	120	1553
72	121	1539
73	121	1523
74	122	1508
75	122	1494
76	123	1480
77	124	1466
78	124	1452
79	125	1438
80	125	1424
81	126	1412
82	126	1398
83	127	1387
84	127	1375
85	128	1366
86	129	1354
87	129	1344
88	130	1334
89	130	1323
90	131	1313
91	131	1302
92	132	1292
93	133	1282
94	133	1272
95	134	1262
96	134	1254
97	135	1246
98	136	1238
99	136	1230
100	137	1221
101	137	1213
102	138	1205
103	138	1196
104	139	1188
105	139	1180
106	140	1171
107	140	1163
108	141	1157
109	142	1150
110	142	1144
111	143	1137
112	144	1130
113	144	1123
114	145	1117
115	145	1111
116	146	1104
117	146	1097
118	147	1091
119	147	1084
120	148	1078
121	148	1071
122	149	1065
123	150	1060
124	150	1055
125	151	1050
126	151	1043
127	152	1038
128	153	1033
129	153	1028
130	154	1022
131	154	1017
132	155	1011
133	155	1006
134	156	1001
135	156	996
136	157	992
137	158	987
138	158	983
139	159	978
140	159	974
141	160	968
142	160	963
143	161	958
144	161	954
145	162	949
146	162	944
147	163	939
148	163	935
149	164	931
150	166	934
151	166	930
152	167	928
153	168	924
154	168	920
155	169	916
156	169	911
157	170	907
158	170	903
159	171	899
160	171	894
161	172	891
162	172	887
163	173	884
164	174	880
165	174	877
166	175	873
167	175	870
168	176	867
169	177	864
170	177	861
171	178	858
172	178	855
173	179	852
174	180	849
175	180	846
176	181	843
177	182	840
178	182	837
179	183	834
180	183	832
181	184	829
182	184	825
183	185	823
184	186	820
185	186	817
186	187	815
187	188	812
188	188	809
189	189	807
190	189	804
191	190	801
192	191	798
193	191	796
194	192	793
195	192	790
196	193	787
197	193	784
198	194	782
199	194	779
200	195	777
201	196	775
202	196	773
203	197	770
204	198	768
205	198	766
206	199	763
207	199	760
208	200	757
209	200	755
210	201	752
211	201	750
212	202	748
213	203	746
214	203	743
215	204	741
216	205	739
217	205	737
218	206	735
219	206	733
220	207	730
221	207	728
222	208	725
223	208	723
224	209	720
225	209	718
226	210	717
227	211	715
228	211	713
229	212	711
230	212	709
231	213	707
232	214	704
233	214	702
234	215	700
235	215	698
236	216	695
237	216	694
238	217	692
239	218	690
240	218	689
241	219	687
242	219	685
243	220	683
244	221	681
245	221	679
246	222	677
247	222	675
248	223	673
249	223	670
250	224	668
251	224	667
252	225	665
253	226	666
254	227	664
255	228	663
256	228	661
257	229	659
258	229	657
259	230	655
260	230	654
261	231	652
262	232	650
263	232	648
264	233	647
265	234	645
266	234	644
267	235	642
268	235	640
269	236	639
270	236	637
271	237	635
272	237	633
273	238	631
274	238	629
275	239	628
276	240	626
277	240	625
278	241	623
279	241	622
280	242	620
281	243	618
282	243	617
283	244	615
284	244	614
285	245	612
286	245	610
287	246	608
288	246	606
289	247	605
290	248	604
291	248	603
292	249	601
293	250	600
294	250	599
295	251	597
296	251	596
297	252	594
298	252	592
299	253	590
300	253	589
301	254	587
302	254	586
303	255	585
304	256	583
305	256	582
306	257	581
307	257	579
308	258	578
309	259	577
310	259	575
311	260	573
312	260	572
313	261	570
314	261	569
315	262	567
316	263	566
317	263	565
318	264	564
319	265	563
320	265	561
321	266	560
322	266	558
323	267	557
324	267	556
325	268	554
326	269	553
327	269	552
328	270	551
329	270	549
330	271	548
331	272	547
332	272	546
333	273	545
334	273	543
335	274	542
336	274	540
337	275	539
338	275	537
339	276	536
340	276	535
341	277	534
342	278	532
343	278	531
344	279	530
345	280	529
346	280	528
347	281	527
348	281	525
349	282	524
350	282	523
351	283	521
352	283	520
353	284	518
354	284	517
355	285	516
356	286	515
357	286	514
358	287	513
359	288	512
360	288	511
361	289	509
362	289	508
363	290	506
364	290	505
365	291	504
366	291	502
367	292	501
368	292	500
369	293	499
370	294	498
371	294	497
372	295	496
373	295	495
374	296	494
375	296	492
376	297	491
377	297	490
378	298	488
379	298	487
380	299	486
381	299	485
382	300	484
383	301	483
384	301	482
385	302	481
386	303	480
387	303	479
388	304	477
389	304	476
390	305	475
391	305	474
392	306	472
393	306	471
394	307	470
395	307	469
396	308	468
397	309	467
398	309	466
399	310	465
400	310	464
401	311	463
402	312	462
403	312	461
404	313	460
405	313	459
406	314	457
407	314	456
408	315	455
409	315	454
410	316	453
411	317	452
412	317	451
413	318	450
414	318	449
415	319	448
416	319	447
417	320	446
418	320	444
419	321	443
420	321	442
421	322	441
422	322	440
423	323	439
424	324	438
425	324	437
426	325	436
427	326	435
428	326	434
429	327	433
430	327	432
431	328	431
432	328	430
433	329	429
434	330	428
435	330	427
436	331	426
437	331	425
438	332	425
439	333	424
440	333	423
441	334	422
442	334	421
443	335	420
444	335	418
445	336	417
446	336	416
447	337	415
448	337	414
449	338	413
450	339	412
451	339	411
452	340	411
453	340	410
454	341	409
455	342	408
456	342	407
457	343	406
458	343	405
459	344	404
460	344	403
461	345	402
462	346	401
463	346	400
464	347	400
465	348	399
466	348	398
467	349	397
468	350	396
469	350	395
470	351	394
471	351	393
472	352	392
473	352	391
474	353	390
475	353	389
476	354	388
477	355	388
478	356	387
479	356	386
480	357	385
481	357	384
482	358	383
483	359	382
484	359	381
485	360	381
486	361	380
487	361	379
488	362	378
489	363	377
490	363	377
491	364	376
492	364	375
493	365	374
494	366	373
495	366	372
496	366	371
497	367	370
498	368	369
499	368	368
500	369	368
501	370	367
502	370	366
503	371	365
504	371	364
505	372	363
506	372	362
507	373	361
508	373	360
509	374	359
510	374	358
511	375	357
512	376	357
513	376	356
514	377	355
515	378	354
516	378	353
517	379	352
518	379	352
519	380	351
520	380	350
521	381	349
522	381	348
523	382	347
524	382	346
525	383	345
526	384	344
527	384	344
528	385	343
529	386	342
530	386	341
531	387	340
532	387	339
533	388	338
534	388	338
535	389	337
536	389	336
537	390	335
538	390	334
539	391	333
540	392	332
541	392	331
542	393	331
543	394	330
544	394	329
545	395	328
546	395	327
547	396	326
548	396	325
549	397	324
550	397	324
551	398	323
552	398	322
553	399	321
554	400	320
555	400	319
556	401	319
557	401	318
558	402	317
559	402	316
560	403	315
561	403	314
562	404	313
563	404	313
564	405	312
565	406	311
566	406	310
567	407	309
568	408	309
569	408	308
570	409	307
571	409	306
572	410	305
573	410	304
574	411	304
575	411	303
576	412	302
577	412	301
578	413	300
579	414	299
580	414	299
581	415	298
582	416	297
583	416	296
584	417	295
585	417	295
586	418	294
587	418	293
588	419	292
589	419	291
590	420	290
591	420	290
592	421	289
593	422	288
594	422	287
595	423	287
596	424	286
597	424	285
598	425	284
599	425	283
600	426	283
601	426	282
602	427	281
603	427	280
604	428	279
605	428	278
606	429	278
607	430	277
608	431	276
609	431	275
610	432	275
611	432	274
612	433	273
613	433	272
614	434	271
615	434	271
616	435	270
617	435	269
618	436	268
619	436	267
620	437	267
621	438	266
622	438	265
623	439	264
624	440	264
625	440	263
626	441	262
627	441	261
628	442	260
629	442	259
630	443	259
631	443	258
632	444	257
633	444	256
634	445	256
635	446	255
636	446	254
637	447	253
638	447	253
639	448	252
640	448	251
641	449	250
642	449	249
643	450	249
644	450	248
645	451	247
646	452	246
647	452	245
648	453	245
649	454	244
650	454	243
651	455	242
652	455	242
653	456	241
654	456	240
655	457	239
656	457	238
657	458	238
658	458	237
659	459	236
660	459	235
661	460	235
662	461	234
663	462	233
664	462	233
665	463	232
666	463	231
667	464	230
668	464	229
669	465	229
670	465	228
671	466	227
672	466	226
673	467	226
674	468	225
675	468	224
676	469	224
677	470	223
678	470	222
679	471	221
680	471	221
681	472	220
682	472	219
683	473	218
684	473	217
685	474	217
686	475	216
687	475	215
688	476	215
689	477	214
690	477	213
691	478	212
692	478	212
693	479	211
694	479	210
695	480	209
696	480	208
697	481	208
698	481	207
699	482	206
700	482	206
701	483	205
702	484	204
703	484	203
704	485	203
705	486	202
706	486	201
707	487	201
708	487	200
709	488	199
710	488	198
711	489	198
712	490	197
713	491	196
714	491	196
715	492	195
716	493	194
717	493	193
718	494	193
719	494	192
720	495	191
721	495	190
722	496	190
723	497	189
724	497	188
725	498	188
726	499	187
727	499	186
728	500	185
729	500	185
730	501	184
731	501	183
732	502	183
733	502	182
734	503	181
735	503	180
736	504	180
737	505	179
738	505	178
739	506	177
740	506	177
741	507	176
742	508	175
743	508	175
744	509	174
745	509	173
746	510	172
747	510	172
748	511	171
749	511	170
750	512	169
751	512	169
752	513	168
753	514	167
754	514	167
755	515	166
756	515	165
757	516	164
758	517	164
759	517	163
760	518	162
761	518	162
762	519	161
763	520	160
764	520	159
765	521	159
766	522	158
767	522	157
768	523	157
769	523	156
770	524	155
771	524	155
772	525	154
773	525	153
774	526	152
775	527	152
776	527	151
777	528	150
778	529	150
779	529	149
780	530	148
781	531	148
782	531	147
783	532	146
784	532	145
785	533	145
786	533	144
787	534	143
788	535	143
789	535	142
790	536	141
791	537	141
792	537	140
793	538	139
794	538	138
795	539	138
796	539	137
797	540	136
798	540	136
799	541	135
800	541	134
801	542	133
802	543	133
803	544	132
804	544	131
805	545	131
806	545	130
807	546	129
808	547	129
809	547	128
810	548	127
811	548	127
812	549	126
813	549	125
814	550	124
815	551	124
816	551	123
817	552	122
818	553	122
819	553	121
820	554	120
821	554	120
822	555	119
823	555	118
824	556	118
825	557	117
826	557	116
827	558	115
828	558	115
829	559	114
830	560	113
831	560	113
832	561	112
833	561	111
834	562	111
835	562	110
836	563	109
837	563	109
838	564	108
839	565	107
840	565	106
841	566	106
842	567	105
843	567	104
844	568	104
845	568	103
846	569	102
847	570	102
848	570	101
849	571	100
850	571	100
851	572	99
852	572	98
853	573	98
854	574	97
855	574	96
856	575	96
857	576	95
858	576	94
859	577	93
860	577	93
861	578	92
862	578	91
863	579	91
864	579	90
865	580	89
866	581	89
867	581	88
868	582	87
869	583	87
870	583	86
871	584	85
872	585	85
873	585	84
874	586	83
875	586	83
876	587	82
